SUBNATIONAL1,SUBNATIONAL2,TC_LOSS_HA_,ANNEE
JIJEL,BORDJ TAHAR,2,2001
JIJEL,BOUDRIA BENIYADJIS,0,2001
JIJEL,BOURAOUI BELHADEF,2,2001
JIJEL,BOUSSIF OULED ASKEUR,0,2001
JIJEL,CHAHNA,4,2001
JIJEL,CHEKFA,0,2001
JIJEL,DJEMAA BENI HABIBI,0,2001
JIJEL,DJEMILA,2,2001
JIJEL,EL ANCER,3,2001
JIJEL,EL AOUANA,3,2001
JIJEL,EL KENNAR NOUCHFI,0,2001
JIJEL,EL MILIA,64,2001
JIJEL,EMIR ABDELKADER,0,2001
JIJEL,ERRAGUENE,0,2001
JIJEL,GHEBALA,0,2001
JIJEL,JIJEL,0,2001
JIJEL,KHEIR OUED ADJOUL,1,2001
JIJEL,KOUAS,1,2001
JIJEL,OUDJANA,3,2001
JIJEL,OULED RABAH,0,2001
JIJEL,OULED YAHIA KHADROUCHE,14,2001
JIJEL,SELMA BENZIADA,0,2001
JIJEL,SETTARA,5,2001
JIJEL,SIDI ABDELAZIZ,1,2001
JIJEL,SIDI MAROUF,0,2001
JIJEL,TAHER,0,2001
JIJEL,TEXENNA,3,2001
JIJEL,ZIAMA MANSOURIA,7,2001
JIJEL,BORDJ TAHAR,0,2002
JIJEL,BOUDRIA BENIYADJIS,1,2002
JIJEL,BOURAOUI BELHADEF,0,2002
JIJEL,BOUSSIF OULED ASKEUR,1,2002
JIJEL,CHAHNA,1,2002
JIJEL,CHEKFA,2,2002
JIJEL,DJEMAA BENI HABIBI,3,2002
JIJEL,DJEMILA,3,2002
JIJEL,EL ANCER,4,2002
JIJEL,EL AOUANA,7,2002
JIJEL,EL KENNAR NOUCHFI,2,2002
JIJEL,EL MILIA,68,2002
JIJEL,EMIR ABDELKADER,1,2002
JIJEL,ERRAGUENE,3,2002
JIJEL,GHEBALA,0,2002
JIJEL,JIJEL,5,2002
JIJEL,KHEIR OUED ADJOUL,1,2002
JIJEL,KOUAS,1,2002
JIJEL,OUDJANA,4,2002
JIJEL,OULED RABAH,0,2002
JIJEL,OULED YAHIA KHADROUCHE,10,2002
JIJEL,SELMA BENZIADA,1,2002
JIJEL,SETTARA,22,2002
JIJEL,SIDI ABDELAZIZ,0,2002
JIJEL,SIDI MAROUF,4,2002
JIJEL,TAHER,0,2002
JIJEL,TEXENNA,22,2002
JIJEL,ZIAMA MANSOURIA,9,2002
JIJEL,BORDJ TAHAR,0,2003
JIJEL,BOUDRIA BENIYADJIS,8,2003
JIJEL,BOURAOUI BELHADEF,3,2003
JIJEL,BOUSSIF OULED ASKEUR,5,2003
JIJEL,CHAHNA,8,2003
JIJEL,CHEKFA,1,2003
JIJEL,DJEMAA BENI HABIBI,0,2003
JIJEL,DJEMILA,19,2003
JIJEL,EL ANCER,2,2003
JIJEL,EL AOUANA,4,2003
JIJEL,EL KENNAR NOUCHFI,1,2003
JIJEL,EL MILIA,31,2003
JIJEL,EMIR ABDELKADER,0,2003
JIJEL,ERRAGUENE,18,2003
JIJEL,GHEBALA,3,2003
JIJEL,JIJEL,2,2003
JIJEL,KHEIR OUED ADJOUL,0,2003
JIJEL,KOUAS,0,2003
JIJEL,OUDJANA,9,2003
JIJEL,OULED RABAH,1,2003
JIJEL,OULED YAHIA KHADROUCHE,3,2003
JIJEL,SELMA BENZIADA,7,2003
JIJEL,SETTARA,5,2003
JIJEL,SIDI ABDELAZIZ,0,2003
JIJEL,SIDI MAROUF,0,2003
JIJEL,TAHER,0,2003
JIJEL,TEXENNA,13,2003
JIJEL,ZIAMA MANSOURIA,45,2003
JIJEL,BORDJ TAHAR,0,2004
JIJEL,BOUDRIA BENIYADJIS,1,2004
JIJEL,BOURAOUI BELHADEF,1,2004
JIJEL,BOUSSIF OULED ASKEUR,1,2004
JIJEL,CHAHNA,4,2004
JIJEL,CHEKFA,1,2004
JIJEL,DJEMAA BENI HABIBI,0,2004
JIJEL,DJEMILA,2,2004
JIJEL,EL ANCER,1,2004
JIJEL,EL AOUANA,4,2004
JIJEL,EL KENNAR NOUCHFI,0,2004
JIJEL,EL MILIA,30,2004
JIJEL,EMIR ABDELKADER,0,2004
JIJEL,ERRAGUENE,2,2004
JIJEL,GHEBALA,5,2004
JIJEL,JIJEL,2,2004
JIJEL,KHEIR OUED ADJOUL,0,2004
JIJEL,KOUAS,1,2004
JIJEL,OUDJANA,8,2004
JIJEL,OULED RABAH,0,2004
JIJEL,OULED YAHIA KHADROUCHE,3,2004
JIJEL,SELMA BENZIADA,4,2004
JIJEL,SETTARA,2,2004
JIJEL,SIDI ABDELAZIZ,1,2004
JIJEL,SIDI MAROUF,1,2004
JIJEL,TAHER,0,2004
JIJEL,TEXENNA,6,2004
JIJEL,ZIAMA MANSOURIA,37,2004
JIJEL,BORDJ TAHAR,12,2005
JIJEL,BOUDRIA BENIYADJIS,13,2005
JIJEL,BOURAOUI BELHADEF,29,2005
JIJEL,BOUSSIF OULED ASKEUR,40,2005
JIJEL,CHAHNA,22,2005
JIJEL,CHEKFA,12,2005
JIJEL,DJEMAA BENI HABIBI,7,2005
JIJEL,DJEMILA,4,2005
JIJEL,EL ANCER,9,2005
JIJEL,EL AOUANA,25,2005
JIJEL,EL KENNAR NOUCHFI,7,2005
JIJEL,EL MILIA,80,2005
JIJEL,EMIR ABDELKADER,1,2005
JIJEL,ERRAGUENE,21,2005
JIJEL,GHEBALA,16,2005
JIJEL,JIJEL,1,2005
JIJEL,KHEIR OUED ADJOUL,0,2005
JIJEL,KOUAS,3,2005
JIJEL,OUDJANA,36,2005
JIJEL,OULED RABAH,5,2005
JIJEL,OULED YAHIA KHADROUCHE,17,2005
JIJEL,SELMA BENZIADA,35,2005
JIJEL,SETTARA,30,2005
JIJEL,SIDI ABDELAZIZ,6,2005
JIJEL,SIDI MAROUF,8,2005
JIJEL,TAHER,1,2005
JIJEL,TEXENNA,92,2005
JIJEL,ZIAMA MANSOURIA,20,2005
JIJEL,BORDJ TAHAR,0,2006
JIJEL,BOUDRIA BENIYADJIS,3,2006
JIJEL,BOURAOUI BELHADEF,0,2006
JIJEL,BOUSSIF OULED ASKEUR,2,2006
JIJEL,CHAHNA,4,2006
JIJEL,CHEKFA,0,2006
JIJEL,DJEMAA BENI HABIBI,0,2006
JIJEL,DJEMILA,9,2006
JIJEL,EL ANCER,22,2006
JIJEL,EL AOUANA,4,2006
JIJEL,EL KENNAR NOUCHFI,1,2006
