SUBNATIONAL1,SUBNATIONAL2,PERTE,ANNEE;
ADRAR,ADRAR,0,2001;
ADRAR,AKABLI,0,2001;
ADRAR,AOUGROUT,0,2001;
ADRAR,AOULEF,0,2001;
ADRAR,BORDJ BADJI MOKHTAR,0,2001;
ADRAR,BOUDA,0,2001;
ADRAR,CHAROUINE,0,2001;
ADRAR,DELDOUL,0,2001;
ADRAR,FENOUGHIL,0,2001;
ADRAR,IN ZGHMIR,0,2001;
ADRAR,KSAR KADDOUR,0,2001;
ADRAR,METARFA,0,2001;
ADRAR,OULED AHMED TEMMI,0,2001;
ADRAR,OULED AISSA,0,2001;
ADRAR,OULED SAID,0,2001;
ADRAR,REGGANE,0,2001;
ADRAR,SALI,0,2001;
ADRAR,SEBAA,0,2001;
ADRAR,TALMINE,0,2001;
ADRAR,TAMANTIT,0,2001;
ADRAR,TAMEKTEN,0,2001;
ADRAR,TAMEST,0,2001;
ADRAR,TIMIAOUINE,0,2001;
ADRAR,TIMMIMOUN,0,2001;
ADRAR,TINERKOUK,0,2001;
ADRAR,TIT,0,2001;
ADRAR,TSABIT,0,2001;
ADRAR,ZAOUIET KOUNTA,0,2001;
AÏN DEFLA,AIN BENIAN,1,2001;
AÏN DEFLA,AIN BOUIHI,1,2001;
AÏN DEFLA,AIN DEFLA,0,2001;
AÏN DEFLA,AIN LECHIAKH,0,2001;
AÏN DEFLA,AIN SOLTANE,7,2001;
AÏN DEFLA,AIN TORK,36,2001;
AÏN DEFLA,ARIB,2,2001;
AÏN DEFLA,BARBOUCHE,21,2001;
AÏN DEFLA,BATHIA,1,2001;
AÏN DEFLA,BELAAS,6,2001;
AÏN DEFLA,BEN ALLAL,13,2001;
AÏN DEFLA,BIR OULD KHELIFA,0,2001;
AÏN DEFLA,BORDJ EMIR KHALED,96,2001;
AÏN DEFLA,BOUMEDFAA,2,2001;
AÏN DEFLA,BOURACHED,0,2001;
AÏN DEFLA,DJELIDA,8,2001;
AÏN DEFLA,DJEMAA OULED CHEIKH,8,2001;
AÏN DEFLA,DJENDEL,0,2001;
AÏN DEFLA,EL ABADIA,0,2001;
AÏN DEFLA,EL AMRA,23,2001;
AÏN DEFLA,EL ATTAF,0,2001;
AÏN DEFLA,EL HASSANIA,1,2001;
AÏN DEFLA,EL MAINE,35,2001;
AÏN DEFLA,HAMMAM RIGHA,1,2001;
AÏN DEFLA,HOCEINIA,0,2001;
AÏN DEFLA,KHEMIS MILIANA,0,2001;
AÏN DEFLA,MEKHATRIA,0,2001;
AÏN DEFLA,MILIANA,25,2001;
AÏN DEFLA,OUED CHORFA,16,2001;
AÏN DEFLA,OUED DJEMAA,193,2001;
AÏN DEFLA,ROUINA,0,2001;
AÏN DEFLA,SIDI LAKHDAR,0,2001;
AÏN DEFLA,TACHETA ZEGAGHA,15,2001;
AÏN DEFLA,TARIK IBN-ZIAD,245,2001;
AÏN DEFLA,TIBERKANINE,0,2001;
AÏN DEFLA,ZEDDINE,2,2001;
AÏN TÉMOUCHENT,AGHLAL,0,2001;
AÏN TÉMOUCHENT,AIN EL ARBAA,0,2001;
AÏN TÉMOUCHENT,AIN KIHEL,0,2001;
AÏN TÉMOUCHENT,AIN TEMOUCHENT,2,2001;
AÏN TÉMOUCHENT,AIN TOLBA,2,2001;
AÏN TÉMOUCHENT,AOUBELLIL,0,2001;
AÏN TÉMOUCHENT,BENI SAF,0,2001;
AÏN TÉMOUCHENT,BOU ZEDJAR,0,2001;
AÏN TÉMOUCHENT,CHAABET EL HAM,0,2001;
AÏN TÉMOUCHENT,CHENTOUF,0,2001;
