SUBNATIONAL1,SUBNATIONAL2,THRESHOLD,AREA_HA,TC_LOSS_HA_2017,TC_LOSS_HA_2018
ADRAR,ADRAR,10,69104,0,0
ADRAR,ADRAR,15,69104,0,0
ADRAR,ADRAR,20,69104,0,0
ADRAR,ADRAR,25,69104,0,0
ADRAR,ADRAR,30,69104,0,0
ADRAR,ADRAR,50,69104,0,0
ADRAR,ADRAR,75,69104,0,0
ADRAR,AKABLI,10,166898,0,0
ADRAR,AKABLI,15,166898,0,0
ADRAR,AKABLI,20,166898,0,0
ADRAR,AKABLI,25,166898,0,0
ADRAR,AKABLI,30,166898,0,0
ADRAR,AKABLI,50,166898,0,0
ADRAR,AKABLI,75,166898,0,0
ADRAR,AOUGROUT,10,1419393,0,0
ADRAR,AOUGROUT,15,1419393,0,0
ADRAR,AOUGROUT,20,1419393,0,0
ADRAR,AOUGROUT,25,1419393,0,0
ADRAR,AOUGROUT,30,1419393,0,0
ADRAR,AOUGROUT,50,1419393,0,0
ADRAR,AOUGROUT,75,1419393,0,0
ADRAR,AOULEF,10,305560,0,0
ADRAR,AOULEF,15,305560,0,0
ADRAR,AOULEF,20,305560,0,0
ADRAR,AOULEF,25,305560,0,0
ADRAR,AOULEF,30,305560,0,0
ADRAR,AOULEF,50,305560,0,0
ADRAR,AOULEF,75,305560,0,0
ADRAR,BORDJ BADJI MOKHTAR,10,12148556,0,0
ADRAR,BORDJ BADJI MOKHTAR,15,12148556,0,0
ADRAR,BORDJ BADJI MOKHTAR,20,12148556,0,0
ADRAR,BORDJ BADJI MOKHTAR,25,12148556,0,0
ADRAR,BORDJ BADJI MOKHTAR,30,12148556,0,0
ADRAR,BORDJ BADJI MOKHTAR,50,12148556,0,0
ADRAR,BORDJ BADJI MOKHTAR,75,12148556,0,0
ADRAR,BOUDA,10,425527,0,0
ADRAR,BOUDA,15,425527,0,0
ADRAR,BOUDA,20,425527,0,0
ADRAR,BOUDA,25,425527,0,0
ADRAR,BOUDA,30,425527,0,0
ADRAR,BOUDA,50,425527,0,0
ADRAR,BOUDA,75,425527,0,0
ADRAR,CHAROUINE,10,287674,0,0
ADRAR,CHAROUINE,15,287674,0,0
ADRAR,CHAROUINE,20,287674,0,0
ADRAR,CHAROUINE,25,287674,0,0
ADRAR,CHAROUINE,30,287674,0,0
ADRAR,CHAROUINE,50,287674,0,0
ADRAR,CHAROUINE,75,287674,0,0
ADRAR,DELDOUL,10,120491,0,0
ADRAR,DELDOUL,15,120491,0,0
ADRAR,DELDOUL,20,120491,0,0
ADRAR,DELDOUL,25,120491,0,0
ADRAR,DELDOUL,30,120491,0,0
ADRAR,DELDOUL,50,120491,0,0
ADRAR,DELDOUL,75,120491,0,0
ADRAR,FENOUGHIL,10,757870,0,0
ADRAR,FENOUGHIL,15,757870,0,0
ADRAR,FENOUGHIL,20,757870,0,0
ADRAR,FENOUGHIL,25,757870,0,0
ADRAR,FENOUGHIL,30,757870,0,0
ADRAR,FENOUGHIL,50,757870,0,0
ADRAR,FENOUGHIL,75,757870,0,0
ADRAR,IN ZGHMIR,10,540890,0,0
ADRAR,IN ZGHMIR,15,540890,0,0
ADRAR,IN ZGHMIR,20,540890,0,0
ADRAR,IN ZGHMIR,25,540890,0,0
ADRAR,IN ZGHMIR,30,540890,0,0
ADRAR,IN ZGHMIR,50,540890,0,0
ADRAR,IN ZGHMIR,75,540890,0,0
ADRAR,KSAR KADDOUR,10,806604,0,0
ADRAR,KSAR KADDOUR,15,806604,0,0
ADRAR,KSAR KADDOUR,20,806604,0,0
ADRAR,KSAR KADDOUR,25,806604,0,0
ADRAR,KSAR KADDOUR,30,806604,0,0
ADRAR,KSAR KADDOUR,50,806604,0,0
ADRAR,KSAR KADDOUR,75,806604,0,0
ADRAR,METARFA,10,142080,0,0
ADRAR,METARFA,15,142080,0,0
ADRAR,METARFA,20,142080,0,0
ADRAR,METARFA,25,142080,0,0
ADRAR,METARFA,30,142080,0,0
ADRAR,METARFA,50,142080,0,0
ADRAR,METARFA,75,142080,0,0
ADRAR,OULED AHMED TEMMI,10,480409,0,0
ADRAR,OULED AHMED TEMMI,15,480409,0,0
