SUBNATIONAL1,SUBNATIONAL2,PERTE,ANNEE
Adrar,Adrar,0,2001
Adrar,Akabli,0,2001
Adrar,Aougrout,0,2001
Adrar,Aoulef,0,2001
Adrar,Bordj Badji Mokhtar,0,2001
Adrar,Bouda,0,2001
Adrar,Charouine,0,2001
Adrar,Deldoul,0,2001
Adrar,Fenoughil,0,2001
Adrar,In Zghmir,0,2001
Adrar,Ksar Kaddour,0,2001
Adrar,Metarfa,0,2001
Adrar,Ouled Ahmed Temmi,0,2001
Adrar,Ouled Aissa,0,2001
Adrar,Ouled Said,0,2001
Adrar,Reggane,0,2001
Adrar,Sali,0,2001
Adrar,Sebaa,0,2001
Adrar,Talmine,0,2001
Adrar,Tamantit,0,2001
Adrar,Tamekten,0,2001
Adrar,Tamest,0,2001
Adrar,Timiaouine,0,2001
Adrar,Timmimoun,0,2001
Adrar,Tinerkouk,0,2001
Adrar,Tit,0,2001
Adrar,Tsabit,0,2001
Adrar,Zaouiet Kounta,0,2001
Aïn Defla,Ain Benian,1,2001
Aïn Defla,Ain Bouihi,1,2001
Aïn Defla,Ain Defla,0,2001
Aïn Defla,Ain Lechiakh,0,2001
Aïn Defla,Ain Soltane,7,2001
Aïn Defla,Ain Tork,36,2001
Aïn Defla,Arib,2,2001
Aïn Defla,Barbouche,21,2001
Aïn Defla,Bathia,1,2001
Aïn Defla,Belaas,6,2001
Aïn Defla,Ben Allal,13,2001
Aïn Defla,Bir Ould Khelifa,0,2001
Aïn Defla,Bordj Emir Khaled,96,2001
Aïn Defla,Boumedfaa,2,2001
Aïn Defla,Bourached,0,2001
Aïn Defla,Djelida,8,2001
Aïn Defla,Djemaa Ouled Cheikh,8,2001
Aïn Defla,Djendel,0,2001
Aïn Defla,El Abadia,0,2001
Aïn Defla,El Amra,23,2001
Aïn Defla,El Attaf,0,2001
Aïn Defla,El Hassania,1,2001
Aïn Defla,El Maine,35,2001
Aïn Defla,Hammam Righa,1,2001
Aïn Defla,Hoceinia,0,2001
Aïn Defla,Khemis Miliana,0,2001
Aïn Defla,Mekhatria,0,2001
Aïn Defla,Miliana,25,2001
Aïn Defla,Oued Chorfa,16,2001
Aïn Defla,Oued Djemaa,193,2001
Aïn Defla,Rouina,0,2001
Aïn Defla,Sidi Lakhdar,0,2001
Aïn Defla,Tacheta Zegagha,15,2001
Aïn Defla,Tarik Ibn-Ziad,245,2001
Aïn Defla,Tiberkanine,0,2001
Aïn Defla,Zeddine,2,2001
Aïn Témouchent,Aghlal,0,2001
Aïn Témouchent,Ain El Arbaa,0,2001
Aïn Témouchent,Ain Kihel,0,2001
Aïn Témouchent,Ain Temouchent,2,2001
Aïn Témouchent,Ain Tolba,2,2001
Aïn Témouchent,Aoubellil,0,2001
Aïn Témouchent,Beni Saf,0,2001
Aïn Témouchent,Bou Zedjar,0,2001
Aïn Témouchent,Chaabet El Ham,0,2001
Aïn Témouchent,Chentouf,0,2001
Aïn Témouchent,El Amria,0,2001
Aïn Témouchent,El Malah,0,2001
Aïn Témouchent,El Messaid,2,2001
Aïn Témouchent,Emir Abdelkader,0,2001
Aïn Témouchent,Hammam Bouhadjar,0,2001
Aïn Témouchent,Hassasna,0,2001
Aïn Témouchent,Hassi El Ghella,0,2001
Aïn Témouchent,Oued Berkeche,0,2001
