SUBNATIONAL1,SUBNATIONAL2,PERTE,ANNEE
Jijel,Bordj Tahar,2,2001
Jijel,Boudria Beniyadjis,0,2001
Jijel,Bouraoui Belhadef,2,2001
Jijel,Boussif Ouled Askeur,0,2001
Jijel,Chahna,4,2001
Jijel,Chekfa,0,2001
Jijel,Djemaa Beni Habibi,0,2001
Jijel,Djemila,2,2001
Jijel,El Ancer,3,2001
Jijel,El Aouana,3,2001
Jijel,El Kennar Nouchfi,0,2001
Jijel,El Milia,64,2001
Jijel,Emir Abdelkader,0,2001
Jijel,Erraguene,0,2001
Jijel,Ghebala,0,2001
Jijel,Jijel,0,2001
Jijel,Kheir Oued Adjoul,1,2001
Jijel,Kouas,1,2001
Jijel,Oudjana,3,2001
Jijel,Ouled Rabah,0,2001
Jijel,Ouled Yahia Khadrouche,14,2001
Jijel,Selma Benziada,0,2001
Jijel,Settara,5,2001
Jijel,Sidi Abdelaziz,1,2001
Jijel,Sidi Marouf,0,2001
Jijel,Taher,0,2001
Jijel,Texenna,3,2001
Jijel,Ziama Mansouria,7,2001
Jijel,Bordj Tahar,0,2002
Jijel,Boudria Beniyadjis,1,2002
Jijel,Bouraoui Belhadef,0,2002
Jijel,Boussif Ouled Askeur,1,2002
Jijel,Chahna,1,2002
Jijel,Chekfa,2,2002
Jijel,Djemaa Beni Habibi,3,2002
Jijel,Djemila,3,2002
Jijel,El Ancer,4,2002
Jijel,El Aouana,7,2002
Jijel,El Kennar Nouchfi,2,2002
Jijel,El Milia,68,2002
Jijel,Emir Abdelkader,1,2002
Jijel,Erraguene,3,2002
Jijel,Ghebala,0,2002
Jijel,Jijel,5,2002
Jijel,Kheir Oued Adjoul,1,2002
Jijel,Kouas,1,2002
Jijel,Oudjana,4,2002
Jijel,Ouled Rabah,0,2002
Jijel,Ouled Yahia Khadrouche,10,2002
Jijel,Selma Benziada,1,2002
Jijel,Settara,22,2002
Jijel,Sidi Abdelaziz,0,2002
Jijel,Sidi Marouf,4,2002
Jijel,Taher,0,2002
Jijel,Texenna,22,2002
Jijel,Ziama Mansouria,9,2002
Jijel,Bordj Tahar,0,2003
Jijel,Boudria Beniyadjis,8,2003
Jijel,Bouraoui Belhadef,3,2003
Jijel,Boussif Ouled Askeur,5,2003
Jijel,Chahna,8,2003
Jijel,Chekfa,1,2003
Jijel,Djemaa Beni Habibi,0,2003
Jijel,Djemila,19,2003
Jijel,El Ancer,2,2003
Jijel,El Aouana,4,2003
Jijel,El Kennar Nouchfi,1,2003
Jijel,El Milia,31,2003
Jijel,Emir Abdelkader,0,2003
Jijel,Erraguene,18,2003
Jijel,Ghebala,3,2003
Jijel,Jijel,2,2003
Jijel,Kheir Oued Adjoul,0,2003
Jijel,Kouas,0,2003
Jijel,Oudjana,9,2003
Jijel,Ouled Rabah,1,2003
Jijel,Ouled Yahia Khadrouche,3,2003
Jijel,Selma Benziada,7,2003
Jijel,Settara,5,2003
Jijel,Sidi Abdelaziz,0,2003
Jijel,Sidi Marouf,0,2003
Jijel,Taher,0,2003
Jijel,Texenna,13,2003
Jijel,Ziama Mansouria,45,2003
Jijel,Bordj Tahar,0,2004
Jijel,Boudria Beniyadjis,1,2004
Jijel,Bouraoui Belhadef,1,2004
Jijel,Boussif Ouled Askeur,1,2004
Jijel,Chahna,4,2004
Jijel,Chekfa,1,2004
Jijel,Djemaa Beni Habibi,0,2004
Jijel,Djemila,2,2004
Jijel,El Ancer,1,2004
Jijel,El Aouana,4,2004
Jijel,El Kennar Nouchfi,0,2004
Jijel,El Milia,30,2004
Jijel,Emir Abdelkader,0,2004
Jijel,Erraguene,2,2004
Jijel,Ghebala,5,2004
Jijel,Jijel,2,2004
Jijel,Kheir Oued Adjoul,0,2004
Jijel,Kouas,1,2004
Jijel,Oudjana,8,2004
Jijel,Ouled Rabah,0,2004
Jijel,Ouled Yahia Khadrouche,3,2004
Jijel,Selma Benziada,4,2004
Jijel,Settara,2,2004
Jijel,Sidi Abdelaziz,1,2004
Jijel,Sidi Marouf,1,2004
Jijel,Taher,0,2004
Jijel,Texenna,6,2004
Jijel,Ziama Mansouria,37,2004
Jijel,Bordj Tahar,12,2005
Jijel,Boudria Beniyadjis,13,2005
Jijel,Bouraoui Belhadef,29,2005
Jijel,Boussif Ouled Askeur,40,2005
Jijel,Chahna,22,2005
Jijel,Chekfa,12,2005
Jijel,Djemaa Beni Habibi,7,2005
Jijel,Djemila,4,2005
Jijel,El Ancer,9,2005
Jijel,El Aouana,25,2005
Jijel,El Kennar Nouchfi,7,2005
Jijel,El Milia,80,2005
Jijel,Emir Abdelkader,1,2005
Jijel,Erraguene,21,2005
Jijel,Ghebala,16,2005
Jijel,Jijel,1,2005
Jijel,Kheir Oued Adjoul,0,2005
Jijel,Kouas,3,2005
Jijel,Oudjana,36,2005
Jijel,Ouled Rabah,5,2005
Jijel,Ouled Yahia Khadrouche,17,2005
Jijel,Selma Benziada,35,2005
Jijel,Settara,30,2005
Jijel,Sidi Abdelaziz,6,2005
Jijel,Sidi Marouf,8,2005
Jijel,Taher,1,2005
Jijel,Texenna,92,2005
Jijel,Ziama Mansouria,20,2005
Jijel,Bordj Tahar,0,2006
Jijel,Boudria Beniyadjis,3,2006
Jijel,Bouraoui Belhadef,0,2006
Jijel,Boussif Ouled Askeur,2,2006
Jijel,Chahna,4,2006
Jijel,Chekfa,0,2006
Jijel,Djemaa Beni Habibi,0,2006
Jijel,Djemila,9,2006
Jijel,El Ancer,22,2006
Jijel,El Aouana,4,2006
Jijel,El Kennar Nouchfi,1,2006
Jijel,El Milia,67,2006
Jijel,Emir Abdelkader,1,2006
Jijel,Erraguene,7,2006
Jijel,Ghebala,2,2006
Jijel,Jijel,7,2006
Jijel,Kheir Oued Adjoul,3,2006
Jijel,Kouas,0,2006
Jijel,Oudjana,6,2006
Jijel,Ouled Rabah,2,2006
Jijel,Ouled Yahia Khadrouche,1,2006
Jijel,Selma Benziada,6,2006
Jijel,Settara,10,2006
Jijel,Sidi Abdelaziz,3,2006
Jijel,Sidi Marouf,1,2006
Jijel,Taher,0,2006
Jijel,Texenna,2,2006
Jijel,Ziama Mansouria,10,2006
Jijel,Bordj Tahar,0,2007
Jijel,Boudria Beniyadjis,0,2007
Jijel,Bouraoui Belhadef,11,2007
Jijel,Boussif Ouled Askeur,9,2007
Jijel,Chahna,5,2007
Jijel,Chekfa,10,2007
Jijel,Djemaa Beni Habibi,0,2007
